X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0.00042128,0.047469,,0.00042128,0.85344
0.00042228,0.0469151,,0.00042228,0.84496
0.00042328,0.0463593,,0.00042328,0.836416
0.00042428,0.0458017,,0.00042428,0.827808
0.00042528,0.0452422,,0.00042528,0.819137
0.00042628,0.044681,,0.00042628,0.810402
0.00042728,0.044118,,0.00042728,0.801603
0.00042828,0.0435533,,0.00042828,0.792741
0.00042928,0.0429868,,0.00042928,0.783815
0.00043028,0.0424187,,0.00043028,0.774825
0.00043128,0.0418489,,0.00043128,0.765772
0.00043228,0.0412774,,0.00043228,0.756655
0.00043328,0.0407043,,0.00043328,0.747475
0.00043428,0.0401296,,0.00043428,0.738231
0.00043528,0.0395533,,0.00043528,0.728924
0.00043628,0.0389754,,0.00043628,0.719554
0.00043728,0.038396,,0.00043728,0.710121
0.00043828,0.0378151,,0.00043828,0.700624
0.00043928,0.0372327,,0.00043928,0.691065
0.00044028,0.0366488,,0.00044028,0.681442
0.00044128,0.0360635,,0.00044128,0.671757
0.00044228,0.0354768,,0.00044228,0.662009
0.00044328,0.0348886,,0.00044328,0.652198
0.00044428,0.0342991,,0.00044428,0.642325
0.00044528,0.0337082,,0.00044528,0.632389
0.00044628,0.033116,,0.00044628,0.622392
0.00044728,0.0325225,,0.00044728,0.612332
0.00044828,0.0319277,,0.00044828,0.60221
0.00044928,0.0313316,,0.00044928,0.592027
0.00045028,0.0307343,,0.00045028,0.581781
0.00045128,0.0301358,,0.00045128,0.571475
0.00045228,0.0295361,,0.00045228,0.561107
0.00045328,0.0289353,,0.00045328,0.550678
0.00045428,0.0283333,,0.00045428,0.540188
0.00045528,0.0277301,,0.00045528,0.529637
0.00045628,0.0271259,,0.00045628,0.519026
0.00045728,0.0265206,,0.00045728,0.508355
0.00045828,0.0259143,,0.00045828,0.497623
0.00045928,0.0253069,,0.00045928,0.486832
0.00046028,0.0246985,,0.00046028,0.475981
0.00046128,0.0240892,,0.00046128,0.46507
0.00046228,0.0234789,,0.00046228,0.454101
0.00046328,0.0228677,,0.00046328,0.443072
0.00046428,0.0222556,,0.00046428,0.431985
0.00046528,0.0216426,,0.00046528,0.42084
0.00046628,0.0210287,,0.00046628,0.409636
0.00046728,0.0204141,,0.00046728,0.398375
0.00046828,0.0197986,,0.00046828,0.387056
0.00046928,0.0191823,,0.00046928,0.37568
0.00047028,0.0185653,,0.00047028,0.364247
0.00047128,0.0179475,,0.00047128,0.352758
0.00047228,0.0173291,,0.00047228,0.341212
0.00047328,0.0167099,,0.00047328,0.32961
0.00047428,0.0160901,,0.00047428,0.317952
0.00047528,0.0154697,,0.00047528,0.30624
0.00047628,0.0148486,,0.00047628,0.294472
0.00047728,0.014227,,0.00047728,0.28265
0.00047828,0.0136048,,0.00047828,0.270773
0.00047928,0.012982,,0.00047928,0.258843
0.00048028,0.0123588,,0.00048028,0.246859
0.00048128,0.011735,,0.00048128,0.234822
0.00048228,0.0111108,,0.00048228,0.222732
0.00048328,0.0104862,,0.00048328,0.21059
0.00048428,0.00986112,,0.00048428,0.198396
0.00048528,0.00923567,,0.00048528,0.18615
0.00048628,0.00860986,,0.00048628,0.173854
0.00048728,0.00798371,,0.00048728,0.161506
0.00048828,0.00735724,,0.00048828,0.149109
0.00048928,0.00673048,,0.00048928,0.136662
0.00049028,0.00610346,,0.00049028,0.124165
0.00049128,0.0054762,,0.00049128,0.11162
0.00049228,0.00484872,,0.00049228,0.0990257
0.00049328,0.00422105,,0.00049328,0.0863838
0.00049428,0.00359321,,0.00049428,0.0736945
0.00049528,0.00296523,,0.00049528,0.0609582
0.00049628,0.00233713,,0.00049628,0.0481753
0.00049728,0.00170894,,0.00049728,0.0353465
0.00049828,0.00108069,,0.00049828,0.0224722
0.00049928,0.000452388,,0.00049928,0.00955284
0.00050028,-0.000175929,,0.00050028,-0.00341095
0.00050128,-0.000804239,,0.00050128,-0.0164187
0.00050228,-0.00143252,,0.00050228,-0.0294698
0.00050328,-0.00206074,,0.00050328,-0.0425638
0.00050428,-0.00268888,,0.00050428,-0.0557002
0.00050528,-0.00331691,,0.00050528,-0.0688783
0.00050628,-0.00394482,,0.00050628,-0.0820976
0.00050728,-0.00457256,,0.00050728,-0.0953576
0.00050828,-0.00520013,,0.00050828,-0.108658
0.00050928,-0.00582749,,0.00050928,-0.121997
0.00051028,-0.00645462,,0.00051028,-0.135376
0.00051128,-0.0070815,,0.00051128,-0.148792
0.00051228,-0.0077081,,0.00051228,-0.162247
0.00051328,-0.00833439,,0.00051328,-0.175738
0.00051428,-0.00896035,,0.00051428,-0.189266
0.00051528,-0.00958597,,0.00051528,-0.20283
0.00051628,-0.0102112,,0.00051628,-0.216429
0.00051728,-0.010836,,0.00051728,-0.230063
0.00051828,-0.0114604,,0.00051828,-0.243731
0.00051928,-0.0120844,,0.00051928,-0.257432
0.00052028,-0.0127078,,0.00052028,-0.271166
0.00052128,-0.0133308,,0.00052128,-0.284932
0.00052228,-0.0139533,,0.00052228,-0.298729
0.00052328,-0.0145752,,0.00052328,-0.312556
0.00052428,-0.0151965,,0.00052428,-0.326414
0.00052528,-0.0158172,,0.00052528,-0.340301
0.00052628,-0.0164373,,0.00052628,-0.354217
0.00052728,-0.0170567,,0.00052728,-0.368161
0.00052828,-0.0176755,,0.00052828,-0.382132
0.00052928,-0.0182936,,0.00052928,-0.396129
0.00053028,-0.0189109,,0.00053028,-0.410152
0.00053128,-0.0195275,,0.00053128,-0.424201
0.00053228,-0.0201434,,0.00053228,-0.438273
0.00053328,-0.0207584,,0.00053328,-0.45237
0.00053428,-0.0213726,,0.00053428,-0.466489
0.00053528,-0.021986,,0.00053528,-0.480631
0.00053628,-0.0225985,,0.00053628,-0.494794
0.00053728,-0.0232101,,0.00053728,-0.508977
0.00053828,-0.0238208,,0.00053828,-0.523181
0.00053928,-0.0244306,,0.00053928,-0.537403
0.00054028,-0.0250394,,0.00054028,-0.551644
0.00054128,-0.0256472,,0.00054128,-0.565903
0.00054228,-0.0262539,,0.00054228,-0.580178
0.00054328,-0.0268597,,0.00054328,-0.59447
0.00054428,-0.0274644,,0.00054428,-0.608777
0.00054528,-0.028068,,0.00054528,-0.623098
0.00054628,-0.0286705,,0.00054628,-0.637433
0.00054728,-0.0292719,,0.00054728,-0.651781
0.00054828,-0.0298721,,0.00054828,-0.666141
0.00054928,-0.0304711,,0.00054928,-0.680512
